package,license,allowed,note
"tailwindcss","MIT","YES",""
"tapable","MIT","YES",""
"tar-fs","MIT","YES",""
"tar-stream","MIT","YES",""
"teex","MIT","YES",""
"terser","BSD-2-Clause","YES",""
"terser-webpack-plugin","MIT","YES",""
"text-decoder","Apache-2.0","YES",""
"thingies","MIT","YES",""
"tiny-invariant","MIT","YES",""
"tiny-warning","MIT","YES",""
"tinybench","MIT","YES",""
"tinyexec","MIT","YES",""
"tinyglobby","MIT","YES",""
"tinyrainbow","MIT","YES",""
"tinyspy","MIT","YES",""
"tldts","MIT","YES",""
"tldts-core","MIT","YES",""
"to-regex-range","MIT","YES",""
"toidentifier","MIT","YES",""
"totalist","MIT","YES",""
"tough-cookie","BSD-3-Clause","YES",""
"tr46","MIT","YES",""
"tree-dump","Apache-2.0","YES",""
"tree-kill","MIT","YES",""
"ts-api-utils","MIT","YES",""
"ts-declaration-location","BSD-3-Clause","YES",""
"ts-dedent","MIT","YES",""
"ts-morph","MIT","YES",""
"tsconfig-paths","MIT","YES",""
"tsconfig-paths-webpack-plugin","MIT","YES",""
"tslib","0BSD","YES",""
"tsx","MIT","YES",""
"tunnel","MIT","YES",""
"type-check","MIT","YES",""
"type-fest","MIT OR CC0-1.0","YES",""
"type-is","MIT","YES",""
"typed-array-buffer","MIT","YES",""
"typed-array-byte-length","MIT","YES",""
"typed-array-byte-offset","MIT","YES",""
"typed-array-length","MIT","YES",""
"typed-inject","Apache-2.0","YES",""
"typed-query-selector","MIT","YES",""
"typed-rest-client","MIT","YES",""
"typescript","Apache-2.0","YES",""
"typescript-eslint","MIT","YES",""
"unbox-primitive","MIT","YES",""
"underscore","MIT","YES",""
"undici-types","MIT","YES",""
"unicorn-magic","MIT","YES",""
"unionfs","MIT","YES","MIT (UNSPECIFIED in package.json)"
"universalify","MIT","YES",""
"unpipe","MIT","YES",""
"unplugin","MIT","YES",""
"unrs-resolver","MIT","YES",""
"until-async","MIT","YES",""
"update-browserslist-db","MIT","YES",""
"uri-js","BSD-2-Clause","YES",""
"use-callback-ref","MIT","YES",""
"use-sidecar","MIT","YES",""
"use-sync-external-store","MIT","YES",""
"util-deprecate","MIT","YES",""
"uuid","MIT","YES",""
"validate-npm-package-name","ISC","YES",""
"vary","MIT","YES",""
"vaul","MIT","YES",""
"victory-vendor","MIT AND ISC","YES",""
"vite","MIT","YES",""
"vitest","MIT","YES",""
"vscode-languageserver-textdocument","MIT","YES",""
"vscode-uri","MIT","YES",""
"w3c-xmlserializer","MIT","YES",""
"walk-up-path","ISC","YES",""
"watchpack","MIT","YES",""
"watskeburt","MIT","YES",""
"weapon-regex","Apache-2.0","YES",""
"web-streams-polyfill","MIT","YES",""
"webdriver-bidi-protocol","Apache-2.0","YES",""
"webidl-conversions","BSD-2-Clause","YES",""
"webpack","MIT","YES",""
"webpack-sources","MIT","YES",""
"webpack-virtual-modules","MIT","YES",""
"whatwg-encoding","MIT","YES",""
"whatwg-mimetype","MIT","YES",""
"whatwg-url","MIT","YES",""
"which","ISC","YES",""
"which-boxed-primitive","MIT","YES",""
"which-builtin-type","MIT","YES",""
"which-collection","MIT","YES",""
"which-typed-array","MIT","YES",""
"why-is-node-running","MIT","YES",""
"word-wrap","MIT","YES",""
"wrap-ansi","MIT","YES",""
"wrap-ansi-cjs","MIT","YES",""
"wrappy","ISC","YES",""
"ws","MIT","YES",""
"wsl-utils","MIT","YES",""
"xdg-basedir","MIT","YES",""
"xml-name-validator","Apache-2.0","YES",""
"xmlchars","MIT","YES",""
"xtend","MIT","YES",""
"y18n","ISC","YES",""
"yallist","ISC","YES",""
"yaml","ISC","YES",""
"yargs","MIT","YES",""
